7,"930 Club - Washington, DC",Washington,DC,"815 V St NW (9,477.45 km) 20001 Washington D.C., DC, US",,https://scontent.fjrs4-1.fna.fbcdn.net/v/t31.18172-8/p960x960/24132065_10155201740546194_2686267089894592832_o.jpg?_nc_cat=107&ccb=1-5&_nc_sid=e3f864&_nc_ohc=OrWBY68tq04AX8TwXmv&_nc_ht=scontent.fjrs4-1.fna&oh=00_AT8TWWlLgQrIayj5YUX6YCMjjFnaBNrsJSvDCj5bC1RUrQ&oe=61F79791,https://www.facebook.com/930club/,https://www.930.com/,t,We are look out for local artist for  every daty,Alternative Classical Folk
1,The Musical Hop,San Francisco,CA,1015 Folsom Street,123-123-1234,https://images.unsplash.com/photo-1543900694-133f37abaaa5?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=400&q=60,https://www.facebook.com/TheMusicalHop,https://www.themusicalhop.com,t,We are on the lookout for a local artist to play every two weeks. Please call us.,Jazz Reggae Swing Classical Folk 
2,The Dueling Pianos Bar,New York,NY,335 Delancey Street,914-003-1132,https://images.unsplash.com/photo-1497032205916-ac775f0649ae?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=750&q=80,https://www.facebook.com/theduelingpianos,https://www.theduelingpianos.com,f,, Classical R&B Hip-Hop 
3,Park Square Live Music & Coffee,San Francisco,CA,34 Whiskey Moore Ave,415-000-1234,https://images.unsplash.com/photo-1485686531765-ba63b07845a7?ixlib=rb-1.2.1&ixid=eyJhcHBfaWQiOjEyMDd9&auto=format&fit=crop&w=747&q=80,https://www.facebook.com/ParkSquareLiveMusicAndCoffee,https://www.parksquarelivemusicandcoffee.com,f,, Rock n Roll Jazz Classical Folk 
4,Central Park,New York,NY,5 Av To Central Park W,"",https://scontent.fjrs4-1.fna.fbcdn.net/v/t1.6435-9/111537176_10157693677069482_3274905564307428012_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=973b4a&_nc_ohc=5DEvkeLi6K4AX-RlADS&_nc_ht=scontent.fjrs4-1.fna&oh=6e330b92b69f27e644f0dbc35c5fbc2a&oe=61DD9D43,https://www.facebook.com/CentralParkNYC/,https://www.centralparknyc.org,t,We are on the lookout for a local artist to play every two weeks. Please call us., Rock n Roll Jazz Classical Folk 
8,Forest Hills Stadium,Tennis,NY,"1 Tennis Pl (9,140.08 km) 11375 Forest Hills, NY, US",,https://scontent.fjrs4-1.fna.fbcdn.net/v/t1.18169-9/23031712_1605422176163488_4539554067960202027_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=973b4a&_nc_ohc=4BFGl4WHTqQAX9XhTIb&_nc_ht=scontent.fjrs4-1.fna&oh=00_AT8DpXs35beC-tl9ZVl4hk3k26odEvF4j_fYK6ZtFMHmzA&oe=61F4D2C1,https://www.facebook.com/ForestHillsStadium/,https://foresthillsstadium.com/,f,"", Classical Hip-Hop Jazz Pop Rock n Roll Soul
9,Radio City Music Hall,New York,NY,"1260 Avenue of the Americas (9,146.28 km) 10020 New York, NY, US",+1 866-858-0008,https://scontent.fjrs4-1.fna.fbcdn.net/v/t1.6435-9/107009585_10157480621966903_7856581667181081137_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=973b4a&_nc_ohc=iEK20gxpsG0AX9o22R9&_nc_ht=scontent.fjrs4-1.fna&oh=00_AT_jSDPvvil-q4dKabYO0R2QB8A60O-2RZb34GkVmPw_Iw&oe=61F2F68B,https://www.facebook.com/RadioCityMusicHall/,https://www.msg.com/radio-city-music-hall?cmp=van_radiocity,t,We are on the lookout for a global artist to play every weeks. Please call us.,Jazz
10,Green Mill Cocktail Lounge,Chicago,IL,"4802 N Broadway (9,930.88 km) 60640 Chicago, IL, US",+1 773-878-5552,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.30808-6/270687722_10158685542431376_4823020466178122987_n.jpg?_nc_cat=110&ccb=1-5&_nc_sid=973b4a&_nc_ohc=ue5hEGd6JogAX-i4zyy&_nc_ht=scontent.fjrs4-1.fna&oh=00_AT842B0gHY-F4LUMprwG5MrJyK_a-MN5z_w0Eu9ueM5Gow&oe=61D44238,https://www.facebook.com/greenmillcocktaillounge/,https://greenmilljazz.com/,f,"",Blues Jazz
11,Gruene Hall,New Braunfels,TX,"1281 Gruene Rd (11,569.36 km) 78130 New Braunfels, TX, US",+1 830-606-1281,https://gruenehall.com/wp-content/uploads/elementor/thumbs/GH_JimFlynn-pf8kkyr947fu55kpk2ojgt4imp67i3z795d2qdyp8g.jpg,https://www.facebook.com/gruenehalltx,https://gruenehall.com/,t,We are on the lookout for a local artist to play every three weeks. Please contact us.,Electronic Musical Theatre
18,Village Vanguard,New York,NY,"178 7th Ave S (9,149.36 km) 10014-2740 New York, NY, US",+1 212-255-4037,https://scontent.fjrs4-1.fna.fbcdn.net/v/t31.18172-8/10854389_957562840950662_8930025369271694532_o.jpg?_nc_cat=107&ccb=1-5&_nc_sid=973b4a&_nc_ohc=Qh5H9o273fcAX-Sxfe1&_nc_ht=scontent.fjrs4-1.fna&oh=00_AT9QW37YqKZOyngyMhfrwYPVdiIRLAj11Pxjg7DUP7XrOA&oe=61F80FEE,https://www.facebook.com/villagevanguard/,https://villagevanguard.com/,f,"",Blues Jazz
